year,emissions_kg_per_s,region,MtCO2_per_year
1901,13402.598871524007,russia,422.6643580123811
1902,13496.40631595536,russia,425.62266957996826
1903,13936.065617138069,russia,439.4877653020662
1904,14321.633844504351,russia,451.64704492028926
1905,13975.758312076176,russia,440.7395141296343
1906,14999.85371453486,russia,473.03538674157136
1907,14294.698966581747,russia,450.797626610122
1908,14504.298756487691,russia,457.40756558459583
1909,16201.033204795027,russia,510.91578314641595
1910,15850.34207675716,russia,499.8563877326138
1911,10952.278483469332,russia,345.39105425468887
1912,10367.507253764541,russia,326.9497087547186
1913,8813.247137064149,russia,277.934561714455
1914,9534.18200544219,russia,300.6699637236249
1915,10131.532479690846,russia,319.50800827953054
1916,10205.789291684847,russia,321.8497711025733
1917,9805.796797115496,russia,309.2356077938343
1918,9286.29359574802,russia,292.8525548355096
1919,8569.978492340619,russia,270.2628417344538
1920,10059.132399058852,russia,317.22479933671997
1921,11152.030045884361,russia,351.6904195270092
1922,11760.124499616612,russia,370.8672862199095
1923,11260.342283282951,russia,355.10615424561115
1924,11736.190014223424,russia,370.1124882885499
1925,11068.666141739197,russia,349.0614554458873
1926,9623.20475852521,russia,303.477385264851
1927,9905.108597751874,russia,312.36750473870313
1928,10496.883771128852,russia,331.0297266063195
1929,9322.36944452442,russia,293.9902428025221
1930,9724.949610094178,russia,306.68601090392997
1931,10958.550649078694,russia,345.5888532693457
1932,10242.241796357128,russia,322.9993372899184
1933,10365.459618635343,russia,326.8851345332842
1934,11608.552337542655,russia,366.0873065167452
1935,12180.046354134445,russia,384.1099418239839
1936,13769.4332320229,russia,434.2328464050742
1937,14543.825606643615,russia,458.65408433111304
1938,17445.43052181501,russia,550.1590969359582
1939,16548.29226333619,russia,521.86694481657
1940,15614.03228089326,russia,492.4041220102498
1941,11690.82256889774,russia,368.68178053275915
1942,11156.38240523912,russia,351.82767553162086
1943,11465.413850888986,russia,361.5732912016351
1944,11509.13365210806,russia,362.95203885287975
1945,9908.095033585983,russia,312.4616849791676
1946,11293.061566937477,russia,356.13798957494026
1947,11794.728470936747,russia,371.95855705946127
1948,10131.551694186212,russia,319.5086142278564
1949,11737.247459093285,russia,370.1458358699658
1950,10466.988091364969,russia,330.08693644928564
1951,12036.559622540866,russia,379.58494425644875
1952,12142.190805092527,russia,382.91612922939794
1953,12465.350926638988,russia,393.10730682248715
1954,13115.68942619864,russia,413.6163817446003
1955,13248.738379796356,russia,417.81221354525786
1956,12874.047589240909,russia,405.9959647743013
1957,12692.062132096986,russia,400.2568713978105
1958,13633.782276463156,russia,429.9549578705421
1959,13305.693414641864,russia,419.6083475241458
1960,14213.02627240422,russia,448.2219965265395
1961,11742.769726947668,russia,370.31998610902167
1962,12156.289879246402,russia,383.36075763191457
1963,12217.426462492453,russia,385.288760921162
1964,12812.219793240327,russia,404.04616339962695
1965,12811.147430032821,russia,404.012345353515
1966,11641.705560274466,russia,367.13282654881556
1967,12132.441707047745,russia,382.6086816734577
1968,12424.637396076125,russia,391.82336492265665
1969,12391.984762797883,russia,390.79363147959407
1970,12640.611479101475,russia,398.6343236049441
1971,12914.966661282831,russia,407.2863886302154
1972,15928.312671351241,russia,502.3152684037327
1973,12873.377610525398,russia,405.97483632552894
1974,12528.03680821928,russia,395.0841687840032
1975,14659.964161931513,russia,462.31662981067217
1976,15901.696532959118,russia,501.47590186339875
1977,14348.830253471033,russia,452.50471087346244
1978,13026.529959686413,russia,410.8046488086707
1979,15614.638793178405,russia,492.4232489816742
1980,17144.54832458997,russia,540.6704759642693
1981,13862.950175838763,russia,437.18199674525124
1982,17094.36809816617,russia,539.0879923437684
1983,17537.136873490508,russia,553.0511484423967
1984,16968.355582781373,russia,535.1140616585934
1985,13627.558564594008,russia,429.7586868930366
1986,16377.014873865752,russia,516.4655410622304
1987,13930.602457957424,russia,439.3154791141453
1988,13054.152421818346,russia,411.6757507744634
1989,14942.53489819041,russia,471.22778054933275
1990,15952.260509389307,russia,503.0704874241012
1991,16468.2083857774,russia,519.3414196538762
1992,15724.460201746026,russia,495.88657692226263
1993,15484.36550723829,russia,488.3149506362667
1994,13452.11964115213,russia,424.2260450033736
1995,12437.764777163253,russia,392.23735001262037
1996,11604.527145783131,russia,365.9603680694168
1997,11389.714001457833,russia,359.1860207499742
1998,11251.256442251746,russia,354.8196231628511
1999,11380.862900015038,russia,358.9068924148742
2000,11730.262561177437,russia,369.9255601292916
2001,12439.59162777614,russia,392.2949615735484
2002,12220.509229822448,russia,385.3859790716807
2003,10478.911486789339,russia,330.4629526473886
2004,10719.6023131388,russia,338.0533785471452
2005,19287.73342658233,russia,608.2579613407003
2006,11385.23497919974,russia,359.044770304043
2007,12233.33008207756,russia,385.79029746839797
2008,10766.080619252136,russia,339.5191184087353
2009,12479.463457587763,russia,393.55235959848767
2010,15307.69840802256,russia,482.7435769953994
2011,12348.097651530525,russia,389.40960753866665
2012,11901.502658683574,russia,375.32578784424516
2013,12531.013117861497,russia,395.1780296848802
2014,13108.387380298751,russia,413.3861044251014
1850,7026.881925279918,china,221.59974839562747
1851,17251.2745283546,china,544.0361935261906
1852,16120.491059906002,china,508.37580606519566
1853,14747.136775951736,china,465.06570536641397
1854,14680.343623069983,china,462.9593164971349
1855,13194.224533008955,china,416.0930648729704
1856,12165.919217986811,china,383.66442845843204
1857,12526.480494834052,china,395.0350888850867
1858,12116.425132987812,china,382.1035829939036
1859,12006.766003151723,china,378.6453726753927
1860,11289.21839415639,china,356.016791278116
1861,11548.237702891289,china,364.1852241983797
1862,11658.152976952326,china,367.6515122811685
1863,11337.54298668865,china,357.5407556282133
1864,11854.586997461249,china,373.84625555193793
1865,11393.452901491057,china,359.30393070142196
1866,9210.78549087329,china,290.47133124018006
1867,9303.516565988155,china,293.3956984250024
1868,9525.030277980217,china,300.3813548463841
1869,9725.982476293548,china,306.7185833723933
1870,8918.383399499713,china,281.25013888662295
1871,9957.554894114712,china,314.02145114080156
1872,9699.024380295561,china,305.8684328570008
1873,9682.893438434763,china,305.3597274744787
1874,9669.464530355539,china,304.9362334292923
1875,9883.076682930287,china,311.6727062728895
1876,10312.779759728337,china,325.22382250279287
1877,9311.349058586553,china,293.6427039115855
1878,9119.197295275784,china,287.58300590381714
1879,9402.40549670195,china,296.5142597439927
1880,9873.87507249313,china,311.3825242861434
1881,9547.639256166041,china,301.09435158245225
1882,9769.908442010148,china,308.10383262723207
1883,9828.901047501102,china,309.96422343399473
1884,9963.2074431418,china,314.1997099269198
1885,9509.242455642432,china,299.8834700811397
1886,10761.460431105637,china,339.37341615534734
1887,10388.20323401854,china,327.6023771880087
1888,11033.42492290913,china,347.9500883688623
1889,10587.522473906445,china,333.88810873711367
1890,10759.282989253545,china,339.3047483490998
1891,11236.731901629746,china,354.36157724979563
1892,11128.141357433218,china,350.93706584801396
1893,11296.998330464752,china,356.2621393495364
1894,11188.246725420397,china,352.8325487328576
1895,11514.533431229684,china,363.1223262872593
1896,11160.981404715394,china,351.9727095791047
1897,11646.288165477354,china,367.2773435864938
1898,11861.581917988005,china,374.06684736566973
1899,11884.902027192962,china,374.80227032955725
1900,11821.020516179613,china,372.7877029982403
1901,12351.755234291451,china,389.5249530686152
1902,12452.42856250138,china,392.69978714704354
1903,13678.498191181274,china,431.36511895709265
1904,13036.29976124098,china,411.11274927049556
1905,13222.787104434587,china,416.9938141254491
1906,12825.73304717934,china,404.47231737584764
1907,13272.823710010402,china,418.571768518888
1908,12644.47451625172,china,398.7561483445142
1909,13027.325330290661,china,410.82973161604633
1910,13714.691130044683,china,432.5064994770891
1911,13060.455931831819,china,411.87453826624824
1912,13653.288353633261,china,430.5701015201785
1913,12909.963463756487,china,407.12860779302457
1914,13369.576690510716,china,421.62297051194594
1915,13756.486343200615,china,433.82455331917464
1916,13732.515987735771,china,433.06862418923527
1917,13367.339534549863,china,421.5524195615645
1918,14638.25201742576,china,461.6319156215388
1919,14120.500334841427,china,445.3040985595592
1920,14720.942827796704,china,464.23965301739685
1921,14330.718701105887,china,451.93354495807523
1922,14605.092270091947,china,460.5861898296196
1923,13342.045714059555,china,420.75475363858214
1924,14988.721296663041,china,472.6843148115657
